Product Name, ID, Price,Sun Apr 16 2017 19:15:17 GMT-0400 (EDT)
3-santa-pack-3d-pop-up-christmas-cards,10694124289,29,96
5-days-of-love-3d-pop-up-valentines-day-card-pack,11443232449,43,35
adult-birthday-3d-pop-up-card-pack,16439979137,49,55
all-i-want-for-christmas-is-lovepop-29-pack,28257084993,289,48
baby-its-cold-outside-5-pack,27961379777,60,60
baseball-3d-pop-up-fathers-day-card,18667936769,13,343
bears-pop-up-card,1194484957,10,195
bed-3d-pop-up-love-card,10684378945,10,731
blackhawk-helicopter-3d-pop-up-greeting-card,10728484801,13,264
blue-birthday-bear-3d-pop-up-birthday-card,10633357953,13,56
bun-in-the-oven-3d-pop-up-mothers-day-card,17688200513,13,209
christmas-bear-3d-pop-up-holiday-card,8071693377,13,310
christmas-character-pack-3d-pop-up-holiday-card,10694136257,29,84
christmas-eiffel-3d-pop-up-christmas-card,10492354881,13,163
christmas-fun-5-pack,27963349889,62,186
christmas-tree-blue,8204949441,13,415
coffee-cup-pop-up-card,3308269697,10,143
cornucopia-3d-pop-up-greeting-card,8031960193,13,189
couple-love-pop-up-card,1095371541,10,605
cyclist-pop-up-biking-card,3308267521,10,411
democratic-donkey-3d-pop-up-greeting-card,24305785153,10,293
diamond-ring-3d-pop-up-valentines-day-card,10433200065,10,848
easter-pack-3d-pop-up-card,16438911297,29,104
everything-love-3d-pop-up-valentines-day-card-12-pack,11567119233,99,56
faneuil-hall-pop-up-card,1095371813,13,847
floral-bouquet-grey-pop-up-card,6661357889,13,667
for-the-kids-3d-pop-up-valentines-day-card-pack,11526704513,29,61
forest-noel-3d-pop-up-christmas-card,10492706497,13,292
gma-every-day-collection-steals-and-deals,18090297089,49,46
gold-birthday-bear-3d-pop-up-birthday-card,12311303297,13,244
graduation-hats-blue-3d-pop-up-graduation-card,18486110657,10,52
graduation-owl-pop-up-card,2037836033,10,1
halloween-5-pack,26398948161,49,27
hammock-girl-pop-up-card,6661268289,13,318
hanukkah-menorah-pop-up-card,1095371693,13,169
holiday-forest-12-pack-holiday-christmas-pop-up-cards,10694150273,99,48
humvee-military-card,22301162753,13,138
las-vegas-sign-pop-up-card,5461586689,13,656
life-events-pop-up-card-ten-pack,10618514689,89,82
love-explosion-pop-up-valentines-day-card,10684679425,10,621
lovers-in-a-dogwood-tree-brown-wedding-card,21976583617,10,117
lovers-in-a-dogwood-tree-pop-up-lesbian-greeting-card,11643851265,10,63
lucky-clover-3d-pop-up-st-patricks-day-greeting-card,11970182273,10,1509
magnolia-tree-3d-pop-up-love-card,10683955905,13,443
manger-nativity-pop-up-christmas-card,21802648321,13,3762
mermaid-3d-pop-up-birthday-card,11122396353,10,225
money-tree-birthday-card,10506322049,13,192
new-baby-card-5-pack,16757002625,39,14
new-york-city-3d-pop-up-shark-tank-card,10713992449,13,743
ninja-card,22637217025,13,234
oak-tree-3d-pop-up-card,26770736769,13,3
original-lovepop-pop-up-card,1095371809,10,488
otter-mom-pop-up-animal-card,17376096193,10,272
penguin-dad-kirgami-card,18482160321,10,540
pop-up-basketball-birthday-card,10685411329,13,387
pug-cake-smash-3d-pop-up-birthday-card,10672158017,10,471
puppy-bath-time-3d-card,17577391681,10,209
reindeer-with-presents-3d-pop-up-christmas-card,10492399361,13,918
republican-elephant-3d-pop-up-greeting-card,24305920513,10,342
robot-dad-3d-pop-up-fathers-day-card,18668688129,13,101
rocket-ship-3d-pop-up-fathers-day-card,18482776321,13,247
royal-flush-pop-up-card,5461585665,13,94
santa-motorcycle-christmas-card,21799441409,13,119
scaredy-cat-3d-pop-up-greeting-card,11122699905,10,364
small-coffee-cup-3d-pop-up-gift-card,10684806977,8,154
snowflake-blizzard-12-pack-3d-pop-up-holiday-winter-cards,10694153921,99,60
sparkling-snowflake-pop-up-card,1095371525,13,24
spooky-halloween,7244238785,13,225
springtime-picnic-3d-pop-up-greeting-card,17290392705,15,407
statue-of-liberty-3d-pop-up-card,29056442061,13,513
steamboat-3d-pop-up-greeting-card,10607692417,13,348
stork-blue-pop-up-card,1095372853,10,240
stork-yellow-pop-up-card,6662286273,10,4
swans-3d-pop-up-love-card,10684719617,10,502
taxi-3d-pop-up-card,23625256257,13,229
the-young-america-clipper-ship-pop-up-card,1095371557,13,592
thumbs-up,21411551553,13,125
tropical-christmas-3-pack,27962949505,33,59
uscg-eagle-military-card,18669934977,13,227
uss-constitution-pop-up-card,1095372825,13,175
vampire-coffin-pop-up-card,7244233985,10,295
wedding-car-brides-wedding-card,22189992897,13,244
wedding-car-grooms-wedding-card,22189725697,13,105
wedding-day-brides-pop-up-card,2668805953,10,145
wedding-day-pop-up-card,2668805249,10,895
wedding-season-3d-pop-up-card-pack,16440438849,29,36
whimsical-christmas-card-5-pack,26633365761,49,39
willow-love-scene-same-sex-female-3d-card,30262107469,15,153
wine-glass-pop-up-card,2037821313,13,401
witchs-brew-pop-up-card,7244239553,10,215
